name,recclass,mass,fall,year,id,latitude,longitude,country_code
Yamato 86280,H4,26.46,Found,1986,29786,-71.5,35.66667,AQ
Yamato 82145,L6,26.45,Found,1982,29339,-71.5,35.66667,AQ
Yamato 791038,H3,26.33,Found,1979,26387,-71.5,35.66667,AQ
Yamato 74137,H6,26.32,Found,1974,24515,-71.5,35.66667,AQ
Yamato 74481,H6,26.32,Found,1974,24859,0,35.66667,KE
Yamato 86046,L6,26.32,Found,1986,29552,-71.5,35.66667,AQ
Yamato 82093,H5,26.29,Found,1982,29287,-71.5,35.66667,AQ
Yamato 791559,H6,26.21,Found,1979,26908,-71.5,35.66667,AQ
Yamato 82062,H4,26.13,Found,1982,29256,-71.5,35.66667,AQ
Yamato 791856,H3.3,26.11,Found,1979,27205,-71.5,35.66667,AQ
Yamato 794029,H6,26.11,Found,1979,28983,-71.5,35.66667,AQ
Yamato 793194,H5,25.97,Found,1979,28543,-71.5,35.66667,AQ
Yamato 793571,L3.6,25.95,Found,1979,28920,-71.5,35.66667,AQ
Yamato 74234,H5,25.9,Found,1974,24612,-71.5,35.66667,AQ
Yamato 75130,L6,25.9,Found,1975,25171,-71.5,35.66667,AQ
Yamato 790465,H5,25.87,Found,1979,25814,-71.5,35.66667,AQ
Yamato 792049,H4,25.85,Found,1979,27398,-71.5,35.66667,AQ
Yamato 790791,LL6,25.84,Found,1979,26140,-71.5,35.66667,AQ
Yamato 792927,H3.7,25.84,Found,1979,28276,-71.5,35.66667,AQ
Yamato 82083,H5,25.84,Found,1982,29277,-71.5,35.66667,AQ
Yamato 794023,H4,25.82,Found,1979,28977,-71.5,35.66667,AQ
Yamato 82147,L6,25.81,Found,1982,29341,-71.5,35.66667,AQ
Yamato 792016,H4,25.8,Found,1979,27365,-71.5,35.66667,AQ
Yamato 792718,H4,25.78,Found,1979,28067,-71.5,35.66667,AQ
Yamato 74548,H6,25.74,Found,1974,24926,0,35.66667,KE
Yamato 792716,H4,25.74,Found,1979,28065,-71.5,35.66667,AQ
Yamato 86068,H4,25.74,Found,1986,29574,-71.5,35.66667,AQ
Yamato 791874,H4,25.72,Found,1979,27223,-71.5,35.66667,AQ
Yamato 82166,H4,25.67,Found,1982,29360,-71.5,35.66667,AQ
Yamato 74105,H6,25.66,Found,1974,24483,-71.5,35.66667,AQ
Yamato 790797,H4,25.61,Found,1979,26146,-71.5,35.66667,AQ
Yamato 792684,H4,25.58,Found,1979,28033,-71.5,35.66667,AQ
Yamato 791732,H4,25.52,Found,1979,27081,-71.5,35.66667,AQ
Yamato 791703,L4,25.48,Found,1979,27052,-71.5,35.66667,AQ
Yamato 793323,H4,25.47,Found,1979,28672,-71.5,35.66667,AQ
Yamato 791097,H4,25.43,Found,1979,26446,-71.5,35.66667,AQ
Yamato 74465,H6,25.4,Found,1974,24843,0,35.66667,KE
Yamato 75127,L6,25.4,Found,1975,25168,-71.5,35.66667,AQ
Yamato 794041,L5,25.37,Found,1979,28995,-71.5,35.66667,AQ
Yamato 81003,L6,25.33,Found,1981,29064,-71.5,35.66667,AQ
Yamato 792541,H4,25.29,Found,1979,27890,-71.5,35.66667,AQ
