name,recclass,mass,fall,year,id,latitude,longitude,country_code
Dhofar 425,L5,248,Found,2001,7203,18.62705,54.70933,OM
Dhofar 150,H4,356,Found,2000,6935,19.24633,54.70667,OM
Dhofar 1445,LL5,442,Found,2003,51594,19.43697,54.70665,OM
Dhofar 617,H6,7395,Found,2001,7374,19.161,54.70645,OM
Dhofar 341,H5,116,Found,2000,7124,19.32833,54.705,OM
Dhofar 537,H5,14,Found,2001,7298,18.89833,54.705,OM
Dhofar 1410,L~6,30.45,Found,2001,35498,19.15895,54.70497,OM
Dhofar 599,L6,465,Found,2001,7356,18.69087,54.7048,OM
Dhofar 775,H5,212,Found,2000,7521,18.90333,54.70452,OM
Dhofar 1426,H~5,42850,Found,2001,35514,19.173,54.70407,OM
Dhofar 1067,H4-6,96,Found,2000,6873,18.90415,54.70378,OM
Dhofar 338,H4,1140,Found,2001,7121,18.76167,54.70333,OM
Dhofar 534,H5,173,Found,2001,7295,19.19667,54.70333,OM
Dhofar 033,L5,218,Found,1999,6732,19.16933,54.70317,OM
Dhofar 1048,H5/6,267,Found,2000,6852,18.71705,54.702,OM
Dhofar 1049,L5,121,Found,2000,6853,18.92632,54.7017,OM
Dhofar 470,H4,1280,Found,2001,7231,19.05083,54.70167,OM
Dhofar 743,L6,141,Found,2002,7489,19.19333,54.70167,OM
Dhofar 399,L6,283,Found,2001,7181,18.2209,54.70118,OM
Dhofar 296,L5,1412,Found,2000,7079,19.32833,54.7,OM
Dhofar 1711,LL6,295,Found,2010,56335,18.65073,54.69992,OM
Dhofar 1713,L6,73,Found,2010,56337,18.65147,54.69853,OM
Dhofar 681,H5,109,Found,2001,7438,19.30317,54.6985,OM
Dhofar 334,H3.9,973,Found,2000,7117,19.05667,54.69833,OM
Dhofar 641,L6,72,Found,2001,7398,19.17865,54.69808,OM
Dhofar 084,L6,38,Found,1999,6783,19.26583,54.69767,OM
Dhofar 088,L6,36,Found,1999,6787,19.304,54.6955,OM
Dhofar 779,L5,126,Found,2000,7525,18.94137,54.69545,OM
Dhofar 933,H4,48,Found,2000,7635,19.28833,54.695,OM
Dhofar 1055,H4/5,114,Found,2000,6860,18.97162,54.69287,OM
Dhofar 047,L5/6,102,Found,1999,6746,19.22183,54.69267,OM
Dhofar 1676,H4,13.23,Found,2011,56182,19.43382,54.69043,OM
Dhofar 1648,LL5/6,262,Found,2011,55566,19.17098,54.69008,OM
Dhofar 335,L6,555,Found,2000,7118,18.97333,54.68833,OM
Dhofar 647,L6,147,Found,2001,7404,19.18155,54.68738,OM
Dhofar 680,L6,69,Found,2001,7437,19.2933,54.6873,OM
Dhofar 446,L5,12400,Found,2001,7221,18.93805,54.68658,OM
Dhofar 1568,H4,1460,Found,2009,52434,18.88333,54.68383,OM
Dhofar 1723,H6,536,Found,2010,56346,18.98955,54.68367,OM
Dhofar 600,L6,183,Found,2001,7357,18.6912,54.6836,OM
Dhofar 482,LL5,380,Found,2001,7243,19.15083,54.68333,OM
Dhofar 1522,H6,625,Found,2008,52395,18.67133,54.68167,OM
Dhofar 995,H5,243.2,Found,2003,33787,19.1402,54.68142,OM
Dhofar 164,H6,911,Found,2000,6949,19.0275,54.68083,OM
Dhofar 1661,H6,63,Found,2011,55579,18.9914,54.68027,OM
Dhofar 1699,H4,172,Found,2010,56324,18.94895,54.68008,OM
Dhofar 292,H6,804,Found,2000,7075,19.36833,54.68,OM
Dhofar 1064,L6,105,Found,2000,6870,18.86328,54.67993,OM
Dhofar 1700,L6,39000,Found,2010,56325,18.86622,54.67967,OM
Dhofar 776,L5,121,Found,2000,7522,18.86208,54.67937,OM
Dhofar 780,H5/6,1856,Found,2000,7526,19.72137,54.67897,OM
Dhofar 601,H6,226,Found,2001,7358,18.68805,54.67873,OM
Dhofar 843,L6,147,Found,2001,7589,19.17667,54.67833,OM
Dhofar 949,H5,38,Found,2002,30529,19.125,54.67833,OM
Dhofar 371,H4,852,Found,2000,7153,18.54798,54.67692,OM
Dhofar 526,L6,346,Found,2000,7287,19.33833,54.67667,OM
Dhofar 337,L5,580,Found,2001,7120,18.72667,54.675,OM
Dhofar 1489,Eucrite-pmict,25.7,Found,2003,48972,19.16168,54.67452,OM
Dhofar 1419,L~6,47.14,Found,2001,35507,19.1382,54.67448,OM
Dhofar 1413,L~6,40.2,Found,2001,35501,19.14068,54.67448,OM
Dhofar 760,L5,163,Found,2000,7506,18.94455,54.67403,OM
Dhofar 250,L6,585.7,Found,2001,7033,19.1225,54.67333,OM
Dhofar 1438,L6,54,Found,2003,48541,19.16667,54.67333,OM
Dhofar 1136,H5,356,Found,2005,33839,19.274778,54.672972,OM
Dhofar 066,H5/6,1001,Found,1999,6765,19.18467,54.6725,OM
Dhofar 1485,Eucrite-pmict,4.8,Found,2003,48968,19.16525,54.67247,OM
Dhofar 1480,Eucrite-pmict,57.7,Found,2003,48963,19.16612,54.67243,OM
Dhofar 1487,Eucrite-pmict,15.7,Found,2003,48970,19.16593,54.67237,OM
Dhofar 1483,Eucrite-pmict,4.1,Found,2003,48966,19.16797,54.6722,OM
Dhofar 1054,H3-6,65,Found,2000,6859,18.93075,54.672,OM
Dhofar 1484,Eucrite-pmict,79.4,Found,2003,48967,19.16693,54.67182,OM
Dhofar 1486,Eucrite-pmict,12.2,Found,2003,48969,19.16813,54.67157,OM
Dhofar 1144,LL5,328,Found,2005,33847,19.191222,54.671556,OM
Dhofar 1488,Eucrite-pmict,3.9,Found,2003,48971,19.16833,54.67155,OM
Dhofar 678,H5,698,Found,2001,7435,19.2663,54.6714,OM
Dhofar 750,L6,742,Found,2000,7496,18.83783,54.67117,OM
Dhofar 765,L5,135,Found,2000,7511,18.94362,54.67067,OM
Dhofar 1062,L6,43,Found,2000,6868,18.83792,54.67033,OM
Dhofar 1423,L~6,53.58,Found,2001,35511,19.19707,54.6703,OM
Dhofar 1482,Eucrite-pmict,2.5,Found,2003,48965,19.16617,54.6703,OM
Dhofar 1481,Eucrite-pmict,27.6,Found,2003,48964,19.16563,54.66998,OM
Dhofar 679,H5,1653,Found,2001,7436,19.27163,54.66957,OM
Dhofar 860,OC,394,Found,2003,7606,19.3,54.66833,OM
Dhofar 924,L6,185,Found,2002,7626,19.16333,54.66833,OM
Dhofar 083,L4,192,Found,1999,6782,19.2465,54.66783,OM
Dhofar 640,H5/6,64,Found,2001,7397,19.13788,54.66702,OM
Dhofar 278,L6,1666,Found,2001,7061,18.66833,54.66667,OM
Dhofar 1727,H6,453,Found,2011,56354,19.13952,54.66558,OM
Dhofar 1293,H3.9,69,Found,2001,34509,18.84667,54.665,OM
Dhofar 1558,L4,11400,Found,2009,53884,18.39317,54.66433,OM
Dhofar 1424,H~6,53.39,Found,2001,35512,19.19335,54.66395,OM
Dhofar 923,H3.9,190,Found,2002,30517,19.335,54.66333,OM
Dhofar 1718,H6,75,Found,2010,56341,19.13873,54.66188,OM
Dhofar 1292,H3.9,26,Found,2001,34508,18.85167,54.66167,OM
Dhofar 996,LL5,2717,Found,2003,30559,19.16365,54.66127,OM
Dhofar 578,L6,108,Found,2001,7339,18.76628,54.66063,OM
Dhofar 619,H5/6,140,Found,2001,7376,19.14145,54.6593,OM
Dhofar 1300,H6,42,Found,2002,34516,19.13833,54.65833,OM
Dhofar 1557,L6,432,Found,2009,52428,18.4605,54.658,OM
Dhofar 623,L6,147,Found,2001,7380,19.18553,54.65797,OM
Dhofar 1414,L~6,45.59,Found,2001,35502,19.19477,54.65712,OM
Dhofar 620,L6,154,Found,2001,7377,19.16667,54.65688,OM
Dhofar 956,L4,114,Found,2002,30536,19.21667,54.65667,OM
Dhofar 1696,H6,936,Found,2010,56321,19.14333,54.65583,OM
Dhofar 638,L6,103,Found,2001,7395,19.20277,54.65562,OM
Dhofar 1401,LL~6,42.03,Found,2001,35491,19.19135,54.65545,OM
Dhofar 1022,H(L)3-an,271,Found,2001,6824,19.24968,54.65495,OM
Dhofar 745,H4,3600,Found,2000,7491,18.88637,54.65452,OM
Dhofar 1693,L4,1049,Found,2011,56199,18.46253,54.65335,OM
Dhofar 492,H,281,Found,2001,7253,18.71167,54.65333,OM
Dhofar 1611,H5,1124,Found,2003,52634,19.13333,54.65267,OM
Dhofar 133,L4,224,Found,2000,6918,19.072,54.65267,OM
Dhofar 1446,H5,198.9,Found,2003,51595,19.4514,54.6524,OM
Dhofar 479,H6,2512,Found,2001,7240,19.20111,54.65194,OM
Dhofar 1415,L~5,61.4,Found,2001,35503,19.18973,54.6518,OM
Dhofar 763,L5,190,Found,2000,7509,18.86492,54.64972,OM
Dhofar 1044,L5/6,208,Found,2000,6848,18.86492,54.64965,OM
Dhofar 1059,L5/6,149,Found,2000,6864,18.85235,54.6488,OM
Dhofar 1714,L6,562,Found,2010,56338,18.98073,54.6486,OM
Dhofar 156,L5,1780,Found,2000,6941,19.1465,54.64783,OM
Dhofar 1061,L6,66,Found,2000,6867,18.85472,54.64745,OM
Dhofar 1071,L6,4180,Found,2000,6878,18.85395,54.64743,OM
Dhofar 754,H4,538,Found,2000,7500,18.85367,54.64705,OM
Dhofar 757,H5,471,Found,2000,7503,18.85383,54.647,OM
Dhofar 1728,L6,1140,Found,2011,56355,18.9842,54.64507,OM
Dhofar 1058,H4/5,41,Found,2000,6863,18.85703,54.64465,OM
Dhofar 067,H4,229,Found,1999,6766,19.18217,54.6445,OM
Dhofar 1072,LL6,680.5,Found,2000,6879,18.85807,54.6433,OM
Dhofar 432,L5/6,986,Found,2001,7209,18.6203,54.64283,OM
Dhofar 1041,H6,215,Found,2000,6845,18.86395,54.64277,OM
Dhofar 1537,L6,48,Found,2006,52405,18.52867,54.642,OM
Dhofar 648,LL6,133,Found,2001,7405,19.18947,54.64198,OM
Dhofar 497,L4,710,Found,2000,7258,18.96667,54.64167,OM
Dhofar 1046,H5/6,248,Found,2000,6850,18.85485,54.64018,OM
Dhofar 1546,L5,119,Found,2008,52419,18.5345,54.64,OM
